Type,Identifier,Text
WriteText,textCutsceneScript3C_WriteText_0014_0,すこし じかんが できたぞ。<BR>
WriteText,textCutsceneScript3C_WriteText_002B_0,どうしようか‥‥<BR>
WriteText,textCutsceneScript3C_WriteText_0037_0,そうだ! みんなに<BR>たたかいについて いろいろと<BR>アドバイスをもらおう。<BR>
WriteText,textCutsceneScript3C_WriteText_005F_0,だれのところに<BR>いこうかな～。<BR>
OptionSelect,textCutsceneScript3C_OptionSelect_0072_0,おおがみ さん
OptionSelect,textCutsceneScript3C_OptionSelect_0072_1,さくら さん
OptionSelect,textCutsceneScript3C_OptionSelect_0072_2,ほかの たいいん
OptionSelect,textCutsceneScript3C_OptionSelect_00AB_0,すみれ さん
OptionSelect,textCutsceneScript3C_OptionSelect_00AB_1,マリア さん
OptionSelect,textCutsceneScript3C_OptionSelect_00AB_2,ほかの たいいん
OptionSelect,textCutsceneScript3C_OptionSelect_00E3_0,アイリス
OptionSelect,textCutsceneScript3C_OptionSelect_00E3_1,こうらん さん
OptionSelect,textCutsceneScript3C_OptionSelect_00E3_2,ほかの たいいん
OptionSelect,textCutsceneScript3C_OptionSelect_011A_0,カンナ さん
OptionSelect,textCutsceneScript3C_OptionSelect_011A_1,おりひめ さん
OptionSelect,textCutsceneScript3C_OptionSelect_011A_2,ほかの たいいん
OptionSelect,textCutsceneScript3C_OptionSelect_0153_0,レニ さん
OptionSelect,textCutsceneScript3C_OptionSelect_0153_1,ほかの たいいん
WriteText,textCutsceneScript3C_WriteText_0179_0,まだ じかんがあるみたいだ。<BR>こんどは だれのところへ<BR>いこうかな?<BR>
WriteText,textCutsceneScript3C_WriteText_01A2_0,じかんてきには あとひとり<BR>かな。さいごは だれのところ<BR>へ いこうかな?<BR>
WriteText,textCutsceneScript3C_WriteText_01D9_0,ビー! ビー! ビー!<BR>
WriteText,textCutsceneScript3C_WriteText_01EB_0,けいほうだ!<BR>
WriteText,textCutsceneScript3C_WriteText_01F8_0,はなぐみたいいんは<BR>ぜんいん ただちに<BR>さくせんしつに しゅうごう!<BR>
WriteText,textCutsceneScript3C_WriteText_0223_0,よし さくせんしつへ<BR>いこう。<BR>
WriteText,textCutsceneScript3C_WriteText_023A_0,おおがみさん のところへ<BR>いこう。<BR>
WriteText,textCutsceneScript3C_WriteText_0261_0,‥‥まてよ<BR>おおがみさんの ところへは<BR>さっきいったぞ‥‥<BR>
WriteText,textCutsceneScript3C_WriteText_0282_0,ほかのひとの ところへ<BR>いこう。<BR>
WriteText,textCutsceneScript3C_WriteText_029F_0,おおがみさん。<BR>
WriteText,textCutsceneScript3C_WriteText_02AF_0,しつれいします。<BR>
WriteText,textCutsceneScript3C_WriteText_02C6_0,\x01\x28
WriteText,textCutsceneScript3C_WriteText_02CD_0,やあ <NAME>くん<BR>なにかようかい?<BR>
WriteText,textCutsceneScript3C_WriteText_02E3_0,はい おおがみさん。<BR>つぎの さくせんまで すこし<BR>じかんが あいたんです。<BR>
WriteText,textCutsceneScript3C_WriteText_030D_0,そこで おおがみさんに<BR>たたかいの アドバイスを<BR>いただこうと おもいまして。<BR>
WriteText,textCutsceneScript3C_WriteText_033C_0,なるほど。<BR>そういうことなら<BR>きょうりょくするよ。<BR>
WriteText,textCutsceneScript3C_WriteText_035D_0,そうだな‥‥<BR>オレからの アドバイスは<BR>たったひとつだ。<BR>
WriteText,textCutsceneScript3C_WriteText_037D_0,たたかいにおいて<BR>いちばん たいせつなものは<BR>なんだか わかるかい?<BR>
OptionSelectTimed,textCutsceneScript3C_OptionSelectTimed_03A3_0,こうぶのせいのう
OptionSelectTimed,textCutsceneScript3C_OptionSelectTimed_03A3_1,つよい ぶき
OptionSelectTimed,textCutsceneScript3C_OptionSelectTimed_03A3_2,つよい せいしんりょく
WriteText,textCutsceneScript3C_WriteText_03E6_0,そうですね‥‥<BR>こうぶのせいのう ですか?<BR>
WriteText,textCutsceneScript3C_WriteText_0403_0,こうぶのせいのうは あくまで<BR>こじんのちからを ひきだす<BR>ための ものなんだ。<BR>
WriteText,textCutsceneScript3C_WriteText_0432_0,ほかには なにか<BR>おもいあたることは<BR>ないかい?<BR>
WriteText,textCutsceneScript3C_WriteText_0454_0,そうですね‥‥<BR>つよいぶき ですか?<BR>
WriteText,textCutsceneScript3C_WriteText_046E_0,ぶきがいくら つよくても<BR>それを つかいこなすのは<BR>ヒトなんだ。<BR>
WriteText,textCutsceneScript3C_WriteText_0496_0,ほかには なにか<BR>おもいあたることは<BR>ないかい?<BR>
WriteText,textCutsceneScript3C_WriteText_04B8_0,そうですね‥‥<BR>つよい せいしんりょく<BR>ですか?<BR>
WriteText,textCutsceneScript3C_WriteText_04DD_0,\x01\x28
