Type,Identifier,Text
WriteText,textCutsceneScript1D_WriteText_0012_0,おかえりなさい。<BR><NAME>くん。<BR>
WriteText,textCutsceneScript1D_WriteText_0023_0,よきひこさんの きゅうしゅつ<BR>ごくろうさまでした。<BR>
WriteText,textCutsceneScript1D_WriteText_0044_0,では ほうこくを<BR>おねがいするわ。<BR>
WriteText,textCutsceneScript1D_WriteText_005C_0,はい ほうこくします。<BR>
WriteText,textCutsceneScript1D_WriteText_006B_0,『やまと』に 『まじんき』は<BR>ありませんでした。<BR>
WriteText,textCutsceneScript1D_WriteText_008B_0,また 『やまと』には<BR>あきらかに なにものかに<BR>めいれいされ うごいている<BR>
WriteText,textCutsceneScript1D_WriteText_00B6_0,まものが なんたいか<BR>いました。<BR>
WriteText,textCutsceneScript1D_WriteText_00CE_0,なにものかに<BR>めいれいされている‥‥‥‥<BR>
WriteText,textCutsceneScript1D_WriteText_00E6_0,わかったわ。<BR>
WriteText,textCutsceneScript1D_WriteText_00F4_0,では <NAME>くんは<BR>つぎの しじがあるまで<BR>やすんでいてちょうだい。<BR>
WriteText,textCutsceneScript1D_WriteText_0119_0,おかえりなさい。<BR><NAME>。<BR>
WriteText,textCutsceneScript1D_WriteText_0128_0,よきひこさんの きゅうしゅつ<BR>ごくろうさまでした。<BR>
WriteText,textCutsceneScript1D_WriteText_0149_0,では ほうこくを<BR>おねがいするわ。<BR>
WriteText,textCutsceneScript1D_WriteText_0161_0,はい ほうこくします。<BR>
WriteText,textCutsceneScript1D_WriteText_0170_0,『やまと』に 『まじんき』は<BR>ありませんでした。<BR>
WriteText,textCutsceneScript1D_WriteText_0190_0,また 『やまと』には<BR>あきらかに なにものかに<BR>めいれいされ うごいている<BR>
WriteText,textCutsceneScript1D_WriteText_01BB_0,まものが なんたいか<BR>いました。<BR>
WriteText,textCutsceneScript1D_WriteText_01D3_0,なにものかに<BR>めいれいされている‥‥‥‥<BR>
WriteText,textCutsceneScript1D_WriteText_01EB_0,わかったわ。<BR>
WriteText,textCutsceneScript1D_WriteText_01F9_0,では <NAME>は<BR>つぎの しじがあるまで<BR>やすんでいてちょうだい。<BR>
