Type,Identifier,Text
WriteText,textCutsceneScript4F_WriteText_0012_0,<NAME>くん<BR>おつかれさま。<BR>
WriteText,textCutsceneScript4F_WriteText_0025_0,ゆっくりやすんで<BR>ちょうだい‥‥と<BR>いいたいところ だけど‥‥<BR>
WriteText,textCutsceneScript4F_WriteText_0048_0,れんらくが とれなくなった<BR>カンナとアイリスが<BR>しんぱいだわ。<BR>
WriteText,textCutsceneScript4F_WriteText_006B_0,いっこくもはやく<BR>ふたりを みつけて<BR>ちょうだい。<BR>
WriteText,textCutsceneScript4F_WriteText_008C_0,それまで ほかのエリアの<BR>たんさくは ちゅうしよ。<BR>
WriteText,textCutsceneScript4F_WriteText_00A9_0,わかったわね<BR><NAME>くん。<BR>
WriteText,textCutsceneScript4F_WriteText_00B9_0,<NAME> おつかれさま。<BR>
WriteText,textCutsceneScript4F_WriteText_00CA_0,ゆっくりやすんで<BR>ちょうだい‥‥と<BR>いいたいところ だけど‥‥<BR>
WriteText,textCutsceneScript4F_WriteText_00ED_0,れんらくが とれなくなった<BR>カンナとアイリスが<BR>しんぱいだわ。<BR>
WriteText,textCutsceneScript4F_WriteText_0110_0,いっこくもはやく<BR>ふたりを みつけて<BR>ちょうだい。<BR>
WriteText,textCutsceneScript4F_WriteText_0131_0,それまで ほかのエリアの<BR>たんさくは ちゅうしよ。<BR>
WriteText,textCutsceneScript4F_WriteText_014E_0,わかったわね <NAME>。<BR>
