Type,Identifier,Text
WriteText,textCutsceneScript2E_WriteText_0011_0,さっきみつけた ぬいぐるみを<BR>アイリスのところへ<BR>
WriteText,textCutsceneScript2E_WriteText_0032_0,もっていこう。<BR>
WriteText,textCutsceneScript2E_WriteText_003F_0,アイリス。<BR>
WriteText,textCutsceneScript2E_WriteText_004C_0,<NAME> どうしたの?<BR>
WriteText,textCutsceneScript2E_WriteText_005B_0,これ みつけたんだけど<BR>アイリスの?<BR>
WriteText,textCutsceneScript2E_WriteText_0075_0,あっ! マニアーナ!!<BR>
WriteText,textCutsceneScript2E_WriteText_0087_0,マニアーナ?<BR>
WriteText,textCutsceneScript2E_WriteText_0095_0,うん。<BR>その オサルさんの<BR>なまえだよ。<BR>
WriteText,textCutsceneScript2E_WriteText_00BA_0,みつけてくれて ありがとう<BR><NAME>。<BR>
WriteText,textCutsceneScript2E_WriteText_00D2_0,おれいに みんなを<BR>しょうかいするね。<BR>
WriteText,textCutsceneScript2E_WriteText_00E9_0,くまの ジャンポール。<BR>いぬの マリー。<BR>うさぎの フランシーヌ。<BR>
WriteText,textCutsceneScript2E_WriteText_010E_0,おおありくいの パグー。<BR>ほっきょくぐまの ジャン。<BR>
WriteText,textCutsceneScript2E_WriteText_012C_0,そして オサルの<BR>マニアーナだよ。<BR>
WriteText,textCutsceneScript2E_WriteText_0145_0,おぼえた? <NAME>。<BR>
WriteText,textCutsceneScript2E_WriteText_0154_0,え～っと‥‥<BR>くまの ジャンポールと<BR>いぬの マリーと<BR>
WriteText,textCutsceneScript2E_WriteText_0173_0,うさぎの‥‥‥‥‥‥‥‥‥‥<BR>なんだっけ?<BR>うさぎの‥‥‥‥‥‥‥‥‥‥<BR>
OptionSelectTimed,textCutsceneScript2E_OptionSelectTimed_019B_0,フランシーヌ
OptionSelectTimed,textCutsceneScript2E_OptionSelectTimed_019B_1,フランソワーズ
OptionSelectTimed,textCutsceneScript2E_OptionSelectTimed_019B_2,フラダンス
WriteText,textCutsceneScript2E_WriteText_01D7_0,フランシーヌ‥‥‥そうだ!<BR>うさぎの フランシーヌ。<BR>そして‥‥‥‥<BR>
WriteText,textCutsceneScript2E_WriteText_01FD_0,おおありくいの パグーに<BR>ほっきょくぐまの ジャン‥‥<BR>それと‥‥‥‥<BR>
WriteText,textCutsceneScript2E_WriteText_0224_0,‥‥オサルの マニアーナ!<BR>だよね!!<BR>
WriteText,textCutsceneScript2E_WriteText_0248_0,うわー スゴイ スゴイ!<BR>ぜんぶいえたーーーっ!!<BR>
WriteText,textCutsceneScript2E_WriteText_0265_0,さすが <NAME>だね。<BR>アイリスの おともだちを<BR>おぼえて くれたんだね。<BR>
WriteText,textCutsceneScript2E_WriteText_028B_0,それじゃあ <NAME><BR>マニアーナを たすけてくれて<BR>ありがとう。<BR>
WriteText,textCutsceneScript2E_WriteText_02B0_0,フランソワーズ‥‥‥そうだ!<BR>うさぎの フランソワーズ。<BR>
