Type,Identifier,Text
WriteText,textCutsceneScript35_WriteText_0011_0,さっきみつけた<BR>ショパンのがくふ‥‥<BR>
WriteText,textCutsceneScript35_WriteText_002C_0,どうしようかな‥‥<BR>
WriteText,textCutsceneScript35_WriteText_0039_0,とりあえず おりひめさんの<BR>ところへ もっていくか。<BR>
WriteText,textCutsceneScript35_WriteText_0059_0,おりひめさん。<BR>ちょっといいですか?<BR>
WriteText,textCutsceneScript35_WriteText_0073_0,あら <NAME>さん<BR>どうしたですか?<BR>
WriteText,textCutsceneScript35_WriteText_0089_0,こんなものを みつけたの<BR>ですが‥‥<BR>おりひめさんのですか?<BR>
WriteText,textCutsceneScript35_WriteText_00AF_0,ショパンのがくふ?<BR>それは わたしのでーす。<BR>
WriteText,textCutsceneScript35_WriteText_00D6_0,わざわざ どーもです。<BR><NAME>さん。<BR>
WriteText,textCutsceneScript35_WriteText_00ED_0,おりひめさん ピアノ<BR>ひけるんですか?<BR>
WriteText,textCutsceneScript35_WriteText_0108_0,イエース。<BR>わたし ピアノ<BR>だいすきでーす。<BR>
WriteText,textCutsceneScript35_WriteText_0125_0,ボクも おんがくは<BR>すきですよ。<BR>
WriteText,textCutsceneScript35_WriteText_013D_0,<NAME>さんは どんな<BR>おんがくを ききますか?<BR>
OptionSelectTimed,textCutsceneScript35_OptionSelectTimed_0156_0,クラシック
OptionSelectTimed,textCutsceneScript35_OptionSelectTimed_0156_1,えんか
OptionSelectTimed,textCutsceneScript35_OptionSelectTimed_0156_2,ロック
WriteText,textCutsceneScript35_WriteText_018B_0,クラシックを<BR>よく ききます。<BR>
WriteText,textCutsceneScript35_WriteText_01AB_0,<NAME>さん ワンダフル!<BR>クラシックを きいている<BR>なんて グーッドでーす。<BR>
WriteText,textCutsceneScript35_WriteText_01D3_0,おんがくは クラシックが<BR>イチバンでーす!<BR>
WriteText,textCutsceneScript35_WriteText_01EC_0,それじゃ <NAME>さん<BR>わざわざ とどけてくれて<BR>サンキューでした。チャオ<RED>♥<BLACK><BR>
WriteText,textCutsceneScript35_WriteText_021C_0,じつは えんかが<BR>すき なんですよ。<BR>
WriteText,textCutsceneScript35_WriteText_0236_0,Oh! ジャパニーズソウル<BR>ソングでーすね。<BR>
WriteText,textCutsceneScript35_WriteText_0250_0,くろうして うみをみて<BR>なみだながして がまんして<BR>ドこんじょう。<BR>
WriteText,textCutsceneScript35_WriteText_0279_0,ユキげしきなんかも<BR>アリでーすね。<BR>
WriteText,textCutsceneScript35_WriteText_0297_0,わたしも たまにききまーす。<BR><NAME>さん なかなか<BR>しぶいシュミしてますね。<BR>
WriteText,textCutsceneScript35_WriteText_02BF_0,それじゃ <NAME>さん<BR>わざわざ とどけてくれて<BR>サンキューでした。<BR>
WriteText,textCutsceneScript35_WriteText_02E6_0,ロックを よくききますよ。<BR>
WriteText,textCutsceneScript35_WriteText_02FB_0,Oh! いかにも わかもの<BR>らしいでーすね。<BR>
WriteText,textCutsceneScript35_WriteText_0315_0,ロック ロックで<BR>フィーバー フィーバー。<BR>
WriteText,textCutsceneScript35_WriteText_032E_0,でも わたしは あまり<BR>きかないのでーす。<BR>
WriteText,textCutsceneScript35_WriteText_0347_0,それじゃ <NAME>さん<BR>わざわざ とどけてくれて<BR>サンキューでした。<BR>
WriteText,textCutsceneScript35_WriteText_036E_0,‥‥‥‥‥‥‥‥とくに<BR>こだわって きいているものは<BR>ないです。<BR>
WriteText,textCutsceneScript35_WriteText_0396_0,そうなんですか?<BR>
WriteText,textCutsceneScript35_WriteText_03A6_0,じゃあ これからは<BR>クラシックを きいてみると<BR>いいでーす。<BR>
WriteText,textCutsceneScript35_WriteText_03C8_0,おんがくは クラシックが<BR>イチバンでーす!<BR>
WriteText,textCutsceneScript35_WriteText_03E1_0,それじゃ <NAME>さん<BR>わざわざ とどけてくれて<BR>サンキューでした。<BR>
WriteText,textCutsceneScript35_WriteText_0405_0,さっきみつけた<BR>ショパンのがくふ‥‥<BR>
WriteText,textCutsceneScript35_WriteText_0420_0,どうしようかな‥‥<BR>
WriteText,textCutsceneScript35_WriteText_042D_0,とりあえず<BR>おりひめさんの ところへ<BR>もっていきましょう。<BR>
WriteText,textCutsceneScript35_WriteText_0450_0,おりひめさん。<BR>ちょっといいですか?<BR>
WriteText,textCutsceneScript35_WriteText_046A_0,あら <NAME>さん<BR>どうしたですか?<BR>
WriteText,textCutsceneScript35_WriteText_0480_0,こんなものを みつけたの<BR>ですが‥‥<BR>おりひめさんのですか?<BR>
WriteText,textCutsceneScript35_WriteText_04A6_0,ショパンのがくふ?<BR>それは わたしのでーす。<BR>
WriteText,textCutsceneScript35_WriteText_04CD_0,わざわざ どーもです。<BR><NAME>さん。<BR>
WriteText,textCutsceneScript35_WriteText_04E4_0,おりひめさん ピアノ<BR>ひくんですね。<BR>
WriteText,textCutsceneScript35_WriteText_04FE_0,イエース。<BR>わたし ピアノ<BR>だいすきでーす。<BR>
WriteText,textCutsceneScript35_WriteText_051B_0,わたしも おんがくは<BR>すきですよ。<BR>
WriteText,textCutsceneScript35_WriteText_0534_0,<NAME>さんは どんな<BR>おんがくを ききまーすか?<BR>
OptionSelectTimed,textCutsceneScript35_OptionSelectTimed_054E_0,クラシック
OptionSelectTimed,textCutsceneScript35_OptionSelectTimed_054E_1,ジャズ
OptionSelectTimed,textCutsceneScript35_OptionSelectTimed_054E_2,みんよう
WriteText,textCutsceneScript35_WriteText_0584_0,クラシックが<BR>すきなんですよ。<BR>
WriteText,textCutsceneScript35_WriteText_05A4_0,<NAME>さん ワンダフル!<BR>クラシックを きいて<BR>いるなんて グーッドでーす。<BR>
WriteText,textCutsceneScript35_WriteText_05CC_0,おんがくは クラシックが<BR>イチバンでーす!<BR>
WriteText,textCutsceneScript35_WriteText_05E5_0,それじゃ <NAME>さん<BR>わざわざ とどけてくれて<BR>サンキューでした。チャオ<RED>♥<BLACK><BR>
WriteText,textCutsceneScript35_WriteText_0615_0,ジャズを よくききますよ。<BR>
WriteText,textCutsceneScript35_WriteText_0633_0,ジャズ いいでーす。<BR>わたしも すきでーす。<BR>
